Episode,Clip Name,Bin Path,Source File,Keywords,Comments,Notes
EP09,EP09_010_ManualPile,Episode09/Intro,[TBD],"S:社内; M:書物; C:マクロ; E:苦悩; T:組織; M:ネットワーク","EP09_導入_マニュアル山","厚いマニュアル山積み。"
EP09,EP09_020_TiredReader,Episode09/Intro,[TBD],"S:社内; A:読書; C:望遠; E:苦悩; T:組織; M:窓","EP09_導入_疲れた社員","青白いライト演出。"
EP09,EP09_030_StarMapSegue,Episode09/StarMap,[TBD],"S:夜景; M:星空; M:ネットワーク; C:TL; E:高揚; T:倫理","EP09_OP_星座提示","テンプレ流用。"
EP09,EP09_040_PlatonCity,Episode09/History,[TBD],"S:夜景; M:群集; C:空撮; E:静寂; T:歴史; M:ネットワーク","EP09_古代_理想国家俯瞰","幾何学都市CG。"
EP09,EP09_050_BrutalistBlocks,Episode09/Bridge,[TBD],"S:夜景; M:群集; C:空撮; C:俯瞰; E:苦悩; T:組織","EP09_橋渡し_無機質ビル","コルビュジエ風空撮。"
EP09,EP09_060_StampAssembly,Episode09/Bridge,[TBD],"S:社内; C:TL; M:書物; E:静寂; T:組織; A:会議","EP09_橋渡し_書類スタンプ","大量書類に印鑑TL。"
EP09,EP09_070_AntColony,Episode09/Science,[TBD],"S:自然; C:マクロ; M:ネットワーク; E:高揚; T:組織; M:群集","EP09_科学_アリの巣","アリの働き分担。"
EP09,EP09_080_CCTVWall,Episode09/Metaphor,[TBD],"S:社内; M:ネットワーク; C:パン; E:苦悩; T:倫理; M:窓","EP09_比喩_監視の目","監視カメラモニタ壁。"
EP09,EP09_090_ModernBreath,Episode09/Resolution,[TBD],"S:社内; A:歩行; C:望遠; E:静寂; T:組織; M:窓","EP09_結末_余白を作る","会議室から遠ざかる背中。"
EP09,EP09_100_NightskyOutro,Episode09/Outro,[TBD],"S:夜景; M:星空; C:空撮; E:静寂; T:倫理; M:ネットワーク","EP09_結末_星空締め","共通アウトロ。"
