Episode,Clip Name,Bin Path,Source File,Keywords,Comments,Notes
EP03,EP03_010_BurnoutTL,Episode03/Intro,[TBD],"S:社内; A:会議; C:TL; C:パン; E:苦悩; T:組織","EP03_導入_炎上会議","高速TLで混乱表現。"
EP03,EP03_020_CalmBoss,Episode03/Intro,[TBD],"S:社内; A:会議; C:固定; E:静寂; T:倫理; M:窓","EP03_導入_静かな上司","対比用固定カット。"
EP03,EP03_030_StarMapSegue,Episode03/StarMap,[TBD],"S:夜景; M:星空; M:ネットワーク; C:TL; E:高揚; T:自己","EP03_OP_星座提示","星座テンプレ流用。"
EP03,EP03_040_RomanTent,Episode03/History,[TBD],"S:自然; M:羊皮紙; A:筆記; C:マクロ; E:静寂; T:歴史","EP03_古代_自省録","キャンドル光で手元撮影。"
EP03,EP03_050_StoicPortrait,Episode03/History,[TBD],"S:寺社; M:光芒; C:俯瞰; E:静寂; T:歴史; M:書物","EP03_古代_哲学者像","ローマ胸像CG。"
EP03,EP03_060_WaveAgainstRock,Episode03/Bridge,[TBD],"S:自然; M:海; C:固定; C:スロモ; E:静寂; T:自己","EP03_象徴_岩と波","動じない比喩。"
EP03,EP03_070_InkSpill,Episode03/Bridge,[TBD],"S:図書館; M:インク; C:マクロ; E:静寂; T:倫理; M:書物","EP03_橋渡し_インクの浸透","羊皮紙にインク染み込む。"
EP03,EP03_080_CoffeeSteam,Episode03/Reflection,[TBD],"S:社内; C:スロモ; C:マクロ; E:静寂; T:自己; M:書物","EP03_結末_コーヒー","終盤引用。"
EP03,EP03_090_ModernDecompress,Episode03/Modern,[TBD],"S:社内; A:歩行; C:望遠; E:静寂; T:組織; M:窓","EP03_現代_余韻","廊下を歩く背中ショット。"
EP03,EP03_100_NightskyOutro,Episode03/Outro,[TBD],"S:夜景; M:星空; C:空撮; E:静寂; T:倫理; M:ネットワーク","EP03_結末_星空締め","星座再掲。"
