Episode,Clip Name,Bin Path,Source File,Keywords,Comments,Notes
EP04,EP04_010_SilencedVoice,Episode04/Intro,[TBD],"S:社内; A:会議; C:固定; E:苦悩; T:組織; M:窓","EP04_導入_言えない本音","口元アップ+フォーカスアウト。"
EP04,EP04_020_HandshakeCorridor,Episode04/Backchannel,[TBD],"S:社内; A:握手; C:望遠; E:静寂; T:組織; M:窓","EP04_裏交渉_握手","根回し演出。"
EP04,EP04_030_StarMapSegue,Episode04/StarMap,[TBD],"S:夜景; M:星空; M:ネットワーク; C:TL; E:高揚; T:倫理","EP04_OP_星座提示","テンプレ流用。"
EP04,EP04_040_SenecaCourt,Episode04/History,[TBD],"S:寺社; M:群集; C:俯瞰; E:苦悩; T:歴史; A:会議","EP04_古代_セネカ宮廷","玉座を見上げる構図。"
EP04,EP04_050_PsychExperiment,Episode04/Science,[TBD],"S:社内; M:群集; C:TL; C:俯瞰; E:苦悩; T:組織","EP04_科学_群集心理","モノクロ実験再現。"
EP04,EP04_060_ScalesMacro,Episode04/Bridge,[TBD],"S:図書館; M:書物; C:マクロ; E:静寂; T:倫理; M:砂時計","EP04_象徴_天秤","天秤揺れ演出。"
EP04,EP04_070_TeaRoomNijiriguchi,Episode04/Tradition,[TBD],"S:寺社; M:禅庭; M:竹林; E:静寂; T:倫理; C:俯瞰","EP04_東洋_茶室の入口","茶室にじり口俯瞰。"
EP04,EP04_080_WaterfowlUnderwater,Episode04/Metaphor,[TBD],"S:自然; M:群鳥; C:空撮; C:スロモ; E:静寂; T:自己","EP04_比喩_水面下の努力","水鳥の足抽象比喩。"
EP04,EP04_090_ModernResolution,Episode04/Resolution,[TBD],"S:社内; A:会議; C:固定; E:静寂; T:組織; M:窓","EP04_結末_透明な会議","整えられた会議室。"
EP04,EP04_100_NightskyOutro,Episode04/Outro,[TBD],"S:夜景; M:星空; C:空撮; E:静寂; T:倫理; M:ネットワーク","EP04_結末_星空締め","恒例アウトロ。"
