filename,number,role,character,text
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-001-NA.mp3,001,NA,NA,リモートワークの実家も、久々のオフィスも、どこか居心地が悪い。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-002-NA.mp3,002,NA,NA,その「どこにも属せない」感覚は、喪失でしょうか？それとも、解放でしょうか？
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-003-NA.mp3,003,NA,NA,これは、失われた「居場所」をめぐる、8分間の知的旅行。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-004-NA.mp3,004,NA,NA,ようこそ、オリオンの会議室へ。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-005-NA.mp3,005,NA,NA,今夜、空に結ぶのは、風変わりな星々。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-006-NA.mp3,006,NA,NA,10年の漂流の果てに故郷を見失った英雄——オデュッセウス。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-007-NA.mp3,007,NA,NA,「同じ川には二度入れない」と看破した賢者たち——釈迦とヘラクレイトス。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-008-NA.mp3,008,NA,NA,「郷愁」という名の病を発見した17世紀の医師——ヨハネス・ホーファー。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-009-NA.mp3,009,NA,NA,そして、紅茶とマドレーヌで過去を呼び覚ました作家——マルセル・プルースト。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-010-NA.mp3,010,NA,NA,時代も大陸も超えた彼らが、「帰属」という見えない糸で結ばれていきます。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-011-NA.mp3,011,NA,NA,週に2日の出社。久しぶりのオフィス。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-012-NA.mp3,012,NA,NA,エレベーターの中で、見慣れない顔と目が合う。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-013-DL.mp3,013,DL,同僚,「あれ、コピー機の場所、変わった？」
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-014-NA.mp3,014,NA,NA,自分のデスクはあるけれど、引き出しの中身が他人事のように見える。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-015-NA.mp3,015,NA,NA,実家でのリモートワーク。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-016-NA.mp3,016,NA,NA,子供の頃の部屋で、Zoom会議に出ている違和感。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-017-NA.mp3,017,NA,NA,画面に映る本棚には、高校時代の参考書がまだ並んでいる。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-018-DL.mp3,018,DL,母親,「お昼、何か作ろうか？」
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-019-NA.mp3,019,NA,NA,優しさが、かえって居心地の悪さを生む。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-020-NA.mp3,020,NA,NA,ここは故郷のはずなのに、もう帰る場所じゃないのかもしれない。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-021-NA.mp3,021,NA,NA,紀元前8世紀頃、古代ギリシャ。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-022-NA.mp3,022,NA,NA,『オデュッセイア』の英雄オデュッセウスは、トロイア戦争を終え、故郷イタケを目指しました。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-023-NA.mp3,023,NA,NA,しかしその帰路は、10年にも及びます。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-024-NA.mp3,024,NA,NA,女神カリュプソの島で7年、魔女キルケーの館で1年。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-025-NA.mp3,025,NA,NA,安住を与えられながら、それを自ら手放し、旅を続けたのです。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-026-DL.mp3,026,DL,オデュッセウス,「私は故郷を恋い慕う。だが、この冒険もまた、私の一部となった」
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-027-NA.mp3,027,NA,NA,帰りたい。でも帰りたくない。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-028-NA.mp3,028,NA,NA,戦士として変わってしまった自分は、もう平和な島の王には戻れない。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-029-NA.mp3,029,NA,NA,やっと故郷にたどり着いた時、息子は成人し、妻ペーネロペーは20年待ち続けた夫をすぐには信じませんでした。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-030-NA.mp3,030,NA,NA,二人だけの秘密で、ようやく再会を果たす。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-031-NA.mp3,031,NA,NA,場所には戻れても、時間は戻らない。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-032-NA.mp3,032,NA,NA,変わってしまった二人が、新しい物語を始める必要があったのです。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-033-NA.mp3,033,NA,NA,地球の反対側、古代インド。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-034-NA.mp3,034,NA,NA,釈迦は川の流れを見つめながら、弟子たちに語りました。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-035-DL.mp3,035,DL,釈迦,「一切行は無常なり。生じたものは必ず滅する」
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-036-NA.mp3,036,NA,NA,すべては移り変わる。とどまるものはない。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-037-NA.mp3,037,NA,NA,「元に戻る」という幻想を手放すことこそ、苦しみからの解放。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-038-NA.mp3,038,NA,NA,ほぼ同時期、ギリシャの哲学者ヘラクレイトスも同じ真理を見つめていました。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-039-DL.mp3,039,DL,ヘラクレイトス,「同じ川に二度入ることはできない。川も変わり、入る者も変わる」
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-040-NA.mp3,040,NA,NA,この思想は後世、「パンタ・レイ」——万物は流転する、と要約されました。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-041-NA.mp3,041,NA,NA,瞑想によって至った東洋の聖者。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-042-NA.mp3,042,NA,NA,理性的観察によって見抜いた西洋の哲人。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-043-NA.mp3,043,NA,NA,アプローチは違えど、両者が指差していたのは同じ真理——
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-044-NA.mp3,044,NA,NA,"同じ場所に""戻る""ことはできない、それが世界の本質。"
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-045-NA.mp3,045,NA,NA,1688年、スイスの医師ヨハネス・ホーファーは、
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-046-NA.mp3,046,NA,NA,異国の戦場から戻った傭兵たちの奇妙な症状を観察しました。
projects/OrionEp2/サウンド類/NarrationShort/OrionEp2Short-047-NA.mp3,047,NA,NA,食欲不振、不眠、幻聴——彼らが聞くのは、故郷の教会の鐘の音。
