Speaker Name,イン点,アウト点,文字起こし,色選択
谷川,00:00:39:14,00:00:49:09,人間はそんなに視野広く見れる生き物ではそもそもないんですよね。何て言うか。もちろん視野を広い方がいいんですけど。,Violet
谷川,00:00:49:11,00:01:10:22,自分がどのような指標で測られているのかということを、営業ならどれぐらいアポイントメントを取ったのかとか、実際案件を飲んでもらったのかとか、そういった自分が評価されている指標を意識するものなんだと思うんですよ。私のしゃべりやすい範囲というか、皆さんにピンとくる。,Violet
谷川,00:01:11:00,00:01:38:11,ちょっと別の事例でいくと、学校のテストなんかがそうで、このテストって数学でも国語でも何でもいいんですけど、これまでの勉強した範囲がどれぐらいできていて、できていなくて、あなたの苦手はここで、だから次の勉強に生かしましょうねっていう参考のためにテストってあるものなんだと思うんですけど、実際のところは学校の先生も。,Violet
谷川,00:01:38:12,00:02:01:09,親もそのテストを受験している自分も、やっぱりテストの点数のために勉強し始めるっていうふうになるじゃないですか。それを思い出せばわかるとおり、やっぱり自分が評価されている指標に合わせて、成長とか、あるいはステップアップとかも考えていってしまうっていうところに問題があるんじゃないかなという気がしますね。,Violet
谷川,00:02:01:11,00:02:11:10,人間というのはそもそも視野が狭くて縦割りになりやすい生き物なんだということを踏まえた方が良いと思います。,Violet
谷川,00:02:47:09,00:03:09:17,なるほど。やっぱり矛盾する。何て言えばいいんでしょうね。その2種類の方向から考えるべきだと思っていて。まさに子供の目線になるとわかりやすいんですけど、親も教師も好き勝手なことを言うわけじゃないですか。何か得意を伸ばしなさい、苦手を潰しなさい、遊びなさい、もっと勉強しなさいとかって言うわけですよ。,Violet
谷川,00:03:09:17,00:03:31:10,体を動かしなさいとか、それを全部やってたら、子供って忙しすぎるわけですよね。だから、それと同じように、やっぱ企業の上に立ってる人とか、周りは何て言うんでしょうね、経済界のトップ層の人たち、こういうふうに日本経済になるべきだみたいにコメントする人たちっていうのは、基本的に好き勝手言うわけですよ。,Violet
谷川,00:03:31:10,00:03:36:08,自分たちができていたかできていないかっていうことは別に。,Violet
谷川,00:03:36:09,00:03:54:22,あるべきだっていう理想に照らしてなんだってこう下の方に原因を求めて、自分たちではなくて、必ずしも好きかっていうものだと思うんですよね。なので一方ではまた言ってるわって聞き流す力もめっちゃ必要なのではないかというふうに思いますね。,Violet
谷川,00:03:55:00,00:04:14:15,だからこうあるべきだっていう社会とか上の人からの何か課される規範みたいなものに振り回され過ぎないっていうのもすごく大事なことだと思います。昔の親とか教師とか社会が子供に対して言ってたことを、私たちは話半分で聞いてたわけですよね。,Violet
