filename,start_sec,duration_sec,role,character,text,gap_after_sec
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-001-NA.mp3,0.500,5.592,NA,NA,転職した同期の投稿を見て、焦りを感じたことはありませんか？,0.766
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-002-NA.mp3,6.858,5.208,NA,NA,転職は『脱出』なのか、それとも『逃避』なのか？,0.742
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-003-NA.mp3,12.808,9.912,NA,NA,古代の民の40年の放浪と、現代の哲学者の洞察から、本当の『約束の地』を見つける8分間の旅。,0.530
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-004-NA.mp3,23.250,6.912,NA,NA,深夜0時。オフィスビルの窓に、まだポツポツと明かりが灯っています。,0.482
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-005-NA.mp3,30.644,17.304,NA,NA,その一室で、あなたはビジネス系SNSの画面を見つめている。元同期の転職報告。「新しいチャレンジ」「素晴らしい環境」—— そんな言葉が並ぶ投稿に、「いいね！」を押しながら、胸の奥がざわつく。,0.726
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-006-NA.mp3,48.674,3.528,NA,NA,また一人、脱出に成功した。,0.402
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-007-NA.mp3,52.604,14.232,NA,NA,ようこそ、オリオンの会議室へ。ここは、時代を超えた知恵が交差する場所。今夜は「転職の約束」について、3000年の時を超えた対話を始めましょう。,0.634
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-008-NA.mp3,67.470,3.240,NA,NA,今夜結ぶのは、こんな星座。,0.402
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-009-NA.mp3,71.112,13.344,NA,NA,エジプトから脱出した古代イスラエルの民、「神は死んだ」と宣言したニーチェ、組織論を研究する現代の学者たち、そして迷宮に閉じ込められたカフカの主人公——,0.650
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-010-NA.mp3,85.106,9.816,NA,NA,時代も場所も違う星々が、「脱出」と「約束」という糸で結ばれて、ひとつの物語を紡ぎ始めます。,0.530
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-011-NA.mp3,95.452,6.096,NA,NA,スマホの通知音。また転職エージェントからのスカウトメール。,0.466
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-012-NA.mp3,102.014,8.592,NA,NA,「年収30%アップ」「リモートワーク完全対応」「成長できる環境」—— 甘い言葉が並んでいます。,0.538
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-013-DL.mp3,111.144,3.120,DL,同僚A,「うちの会社、もう限界かもね...」,0.672
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-014-NA.mp3,114.936,13.392,NA,NA,金曜日の飲み会。愚痴と不満のオンパレード。みんな口々に「転職」を口にする。でも月曜日になれば、また同じデスクに座っている。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-015-NA.mp3,128.922,13.128,NA,NA,転職サイトのブックマークフォルダが、いつの間にか「転職検討中」から「転職情報」に名前が変わっている。でも、本当に飛び出す勇気はない。,0.614
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-016-NA.mp3,142.664,7.728,NA,NA,この「もっといい場所があるはず」という思い。それは現代特有の病なのでしょうか？,0.806
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-017-NA.mp3,151.198,2.448,NA,NA,いいえ、違います。,0.386
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-018-NA.mp3,154.032,4.512,NA,NA,『旧約聖-書・出エジプト記』は伝えています。,0.438
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-019-NA.mp3,158.982,12.528,NA,NA,そこにモーセが現れ、約束の地への脱出——出エジプトが始まります。紅海が割れ、民は歓喜の中、自由への第一歩を踏み出しました。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-020-NA.mp3,172.104,1.512,NA,NA,しかし——,0.370
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-021-DL.mp3,173.986,6.744,DL,イスラエルの民,「エジプトにいた方がよかった。あそこには肉鍋があり、パンを腹いっぱい食べられた」,0.760
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-022-NA.mp3,181.490,11.232,NA,NA,自由の荒野で、民は奴隷時代を懐かしみ始めたのです。この嘆きは『出エジプト記』16章3節に記録されています。,0.562
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-023-NA.mp3,193.284,17.064,NA,NA,なぜでしょう？ それは奴隷の生活が、苦しくても「予測可能」だったから。明日も明後日も、同じ苦役が続く。それは辛い。でも、少なくとも何が起きるかは分かっていた。,0.966
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-024-NA.mp3,211.314,12.864,NA,NA,一方、自由の荒野は不確実性に満ちています。約束の地は「いつか」「どこかに」ある。でもそれまでの道のりは、誰にも分からない。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp1/サウンド類/Narration/OrionEp1-025-NA.mp3,224.772,7.440,NA,NA,40年。それが彼らの放浪の時間だったと『民数記』は記録しています。,0.482
