filename,start_sec,duration_sec,role,character,text,gap_after_sec
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-001-NA.mp3,0.500,7.392,NA,NA,炎上プロジェクトの修羅場で、なぜか静かにコーヒーを飲んでいる上司を見たことはありませんか？,0.830
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-002-NA.mp3,8.722,5.808,NA,NA,その揺るがない強さは、諦めなのか、それとも戦略なのか？,0.758
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-003-NA.mp3,15.288,9.936,NA,NA,戦場で日記を書いたローマ皇帝と、運命を愛した病床の哲学者が示す、『動じない力』の秘密を解く8分間。,0.546
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-004-NA.mp3,25.770,9.840,NA,NA,深夜のオフィスビル。煌々と灯る無数の窓明かりが、まるで地上の星座のように都市の夜景を彩っています。,0.546
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-005-NA.mp3,36.156,13.296,NA,NA,古代の知恵と現代の悩み。東洋と西洋の叡智。時代を超えた星々を結んで、新しい視座を見つける——ここは、オリオンの会議室。,0.586
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-006-NA.mp3,50.038,3.240,NA,NA,今夜結ぶのは、こんな星座。,0.402
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-007-NA.mp3,53.680,11.088,NA,NA,戦場で日記を書いたローマ皇帝、水のように生きることを説いた老子、アテネで始まったストア哲学、病床で運命を愛したニーチェ——,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-008-NA.mp3,65.362,5.496,NA,NA,時代を超えた賢者たちが、ひとつの物語を紡ぎ始めます。,0.454
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-009-NA.mp3,71.312,15.480,NA,NA,その一室で、私たちのチームは追い詰められていました。納期まであと3日。仕様変更、バグ、クライアントからの無理難題。まさに炎上プロジェクトの真っ只中。,0.646
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-010-NA.mp3,87.438,6.312,NA,NA,でも、ふと気づいたんです。部長だけが、なぜか落ち着いている。,0.470
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp3/サウンド類/Narration/OrionEp3-011-DL.mp3,94.220,2.184,DL,部長,「まあ、座って。」,0.636
